COUNTS - 2017 - annual entries & exits,,,,,,,,,,,,,,,,
"(C) Copyright, London Underground Limited, 2018",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,[ Weights,253,52,59,253,52,59,],,,,,,
Counts by station,,,,,,,,,,Annual,,,,,,
 ,,,,Entry,Entry,Entry,Exit,Exit,Exit,Entry + Exit,,,,,,
nlc,Station,Borough,Note,Weekday,Saturday,Sunday,Weekday,Saturday,Sunday,million,,,,,,
556,Dagenham Heathway,Barking and Dagenham, ,9800,6422,4174,9711,6157,4109,6.08,,,,,,
557,Debden,Epping Forest, ,4365,2100,1100,4076,1836,1035,2.47,,,,,,
558,Dollis Hill,Brent, ,7035,5118,3974,6107,4252,3576,4.26,,,,,,
560,Ealing Broadway,Ealing, ,27918,18907,12639,25074,17762,12462,16.79,,,,,,
561,Ealing Common,Ealing, ,5017,3634,2486,5002,3413,2470,3.19,,,,,,
562,Earl's Court,Kensington and Chelsea, ,30323,24399,18840,30098,24212,18053,19.99,,,,,,
563,East Acton,Hammersmith and Fulham,,6603,4380,3187,6345,3923,3119,4.08,,,,,,
565,East Finchley,Barnet,,12133,7616,4980,11528,6609,4958,7.31,,,,,,
566,East Ham,Newham, ,23269,17213,12184,22485,15768,11628,14.70,,,,,,
567,East Putney,Wandsworth, ,10103,6648,4301,9678,6019,4512,6.18,,,,,,
564,Eastcote,Hillingdon, ,5129,2931,1654,4848,2636,1638,3.01,,,,,,
568,Edgware,Barnet, ,8705,5546,4220,8014,5309,4051,5.28,,,,,,
774,Edgware Road (Bak),City of Westminster, ,7366,4885,3158,7464,4843,3042,4.62,,,,,,
569,Edgware Road (Cir),City of Westminster, ,11970,6611,4932,11396,6435,4542,7.15,,,,,,
570,Elephant & Castle,Southwark, ,37290,23949,17597,32954,21378,15851,22.10,,,,,,
571,Elm Park,Havering, ,5724,3184,1801,5138,2896,1787,3.28,,,,,,
542,Embankment,City of Westminster, ,34869,28002,17980,33686,25955,15578,22.13,,,,,,
572,Epping,Epping Forest, ,6224,4582,2658,6449,4216,2584,3.97,,,,,,
574,Euston,Camden, ,65497,52450,43900,64044,51259,39268,43.07,,,,,,
575,Euston Square,Camden, ,24492,8086,6749,24727,8805,6752,14.13,,,,,,
576,Fairlop,Redbridge, ,2081,1394,856,1878,1298,821,1.24,,,,,,
577,Farringdon,Islington,C,36844,7931,4687,37094,9088,4550,20.14,,,,,,
578,Finchley Central,Barnet, ,12024,7238,4118,11680,6401,4266,7.20,,,,,,
579,Finchley Road,Camden, ,15534,11037,7909,14715,9443,7514,9.63,,,,,,
580,Finsbury Park,Islington,D,52158,41968,25405,45233,30510,22325,31.22,,,,,,
581,Fulham Broadway,Hammersmith and Fulham, ,15310,12139,6951,15025,10125,6572,9.63,,,,,,
582,Gants Hill,Redbridge, ,11215,7326,4905,10582,6971,4806,6.83,,,,,,
