Station_ID,Station_Name,Entry_Week,Entry_Saturday,Entry_Sunday,Exit_Week,Exit_Saturday,Exit_Sunday,AnnualEntryExit_Mill
103,Putney Bridge,8283,6549,3856,8585,6106,3921,652.4
104,Parsons Green,11793,6549,3870,10566,5924,3847,769.32
105,White City,14693,7316,4358,15280,6845,4401,971.38
106,Shepherd's Bush,5846,5077,3084,5424,4628,3203,468.62
107,Holland Park,6091,3888,2601,5447,3879,2663,432.38
108,Becontree,6034,3935,2549,5638,3595,2423,428.53
109,Dagenham Heathway,9800,6422,4174,9711,6157,4109,715.02
110,Victoria,121018,88605,69760,122783,91001,71565,9727.26
111,Brixton,51028,40770,28965,48822,40211,28135,4090.92
112,Pimlico,18185,10677,8159,17077,10280,8112,1282.02
113,Vauxhall,50772,32387,24662,46714,30150,24796,3670.27
114,Warren Street,35810,13816,9209,33944,13362,8585,2143.86
115,Highbury & Islington,31198,24555,15276,30890,23441,16720,2463.31
116,Seven Sisters,28355,23861,17424,26646,22212,16762,2311.21
117,Blackhorse Road,14573,10207,7512,13631,9194,6984,1084.66
118,Tottenham Hale,21847,9891,7206,20344,8587,6945,1370.45
119,Queensway,11823,12040,9727,12303,12466,9693,1130.62
120,Buckhurst Hill,3740,2373,1303,3843,2109,1290,264.14
121,Loughton,5830,3837,2098,5817,3635,2116,417.23
122,Hainault,6373,3865,2438,6002,3553,2430,440.66
123,Grange Hill,1213,572,278,1085,488,281,72.86
124,Debden,4365,2100,1100,4076,1836,1035,269.2
125,Theydon Bois,1526,1210,697,1454,1073,676,116.13
126,Epping,6224,4582,2658,6449,4216,2584,472.23
127,Dagenham East,5082,3369,2099,4593,2770,1795,351.52
192,Turnpike Lane,16200,13744,9948,16215,12547,9888,1344.6
193,Wood Green,20042,15815,11793,18949,16020,11415,1611.63
194,Bounds Green,10509,7995,5470,9196,6878,5232,785.45
195,Westminster,38241,31057,24309,39001,31405,23236,3201.5
196,Kensington (Olympia),1640,6965,4157,1616,6391,4232,375.46
197,Euston,65497,52450,43900,64044,51259,39268,5402.32
198,Waterloo,147574,91841,55080,149577,90703,56770,10569.46
199,Upminster,8860,5745,2538,9533,5105,2571,625.47
200,Barking,29410,19930,14113,28165,18712,13372,2172.02
201,West Ham,6946,5447,3826,6466,5392,3805,548.44
202,Walthamstow Central,11961,9038,6526,17390,13811,10094,1172.94
203,Ealing Broadway,27918,18907,12639,25074,17762,12462,2013.87
204,Acton Town,9531,6716,4744,9382,6617,4785,728.49
205,Ealing Common,5017,3634,2486,5002,3413,2470,384.72
206,Green Park,58814,35126,25470,67897,42800,29244,4577.43
207,Finsbury Park,52158,41968,25405,45233,30510,22325,3811.76
208,Stockwell,20187,15597,9779,15592,13621,9301,1456.46
209,South Wimbledon,8219,5503,3598,7180,5108,3605,583.56
210,Morden,17036,11546,8648,15608,10490,8367,1251.79
211,Hammersmith (H&C),18267,10832,7344,16945,10088,7076,1258.29
212,Hatton Cross,5026,3758,3016,4737,3613,2987,397.05
213,Hounslow West,5414,4253,3387,5191,4160,3406,440.58
214,Hounslow Central,6080,4252,3022,6423,4073,2929,469.91
215,Hounslow East,5988,4804,3609,6305,4905,3678,502.17
216,Osterley,3452,2532,1787,3408,2291,1686,264.58
217,Boston Manor,3893,2378,1724,3414,2094,1744,269.15
