OBJECTID,NAME,NETWORK,Zone,area,,
113,Vauxhall,London Underground,2,Lambeth,,London Underground
114,Warren Street,London Underground,1,Camden,,London Underground
115,Highbury & Islington,London Underground,2,Islington,,London Underground
116,Seven Sisters,London Underground,3,Haringey,,London Underground
117,Blackhorse Road,London Underground,3,Waltham Forest,,London Underground
118,Tottenham Hale,London Underground,3,Haringey,,London Underground
119,Queensway,London Underground,1,City of Westminster,,London Underground
120,Buckhurst Hill,London Underground,5,Epping Forest,,London Underground
121,Loughton,London Underground,6,Epping Forest,,London Underground
122,Hainault,London Underground,4,Redbridge,,London Underground
123,Grange Hill,London Underground,4,Redbridge,,London Underground
124,Debden,London Underground,6,Epping Forest,,London Underground
125,Theydon Bois,London Underground,6,Epping Forest,,London Underground
126,Epping,London Underground,6,Epping Forest,,London Underground
127,Dagenham East,London Underground,5,Barking and Dagenham,,London Underground
192,Turnpike Lane,London Underground,3,Haringey,,London Underground
193,Wood Green,London Underground,3,Haringey,,London Underground
194,Bounds Green,London Underground,3,Haringey,,London Underground
195,Westminster,London Underground,1,City of Westminster,,London Underground
196,Kensington (Olympia),London Underground,2,Kensington and Chelsea,,London Underground
197,Euston,London Underground,1,Camden,,London Underground
198,Waterloo,London Underground,1,Lambeth,,London Underground
199,Upminster,London Underground,6,Havering,,London Underground
200,Barking,London Underground,4,Barking and Dagenham,,London Underground
201,West Ham,London Underground,3,Newham,,London Underground
202,Walthamstow Central,London Underground,3,Waltham Forest,,London Underground
203,Ealing Broadway,London Underground,3,Ealing,,London Underground
204,Acton Town,London Underground,3,Ealing,,London Underground
205,Ealing Common,London Underground,3,Ealing,,London Underground
206,Green Park,London Underground,1,City of Westminster,,London Underground
207,Finsbury Park,London Underground,2,Islington,,London Underground
208,Stockwell,London Underground,2,Lambeth,,London Underground
209,South Wimbledon,London Underground,3,Merton,,London Underground
210,Morden,London Underground,4,Merton,,London Underground
211,Hammersmith (H&C),London Underground,2,Hammersmith and Fulham,,London Underground
212,Hatton Cross,London Underground,6,Hillingdon,,London Underground
213,Hounslow West,London Underground,5,Hounslow,,London Underground
214,Hounslow Central,London Underground,4,Hounslow,,London Underground
215,Hounslow East,London Underground,4,Hounslow,,London Underground
216,Osterley,London Underground,4,Hounslow,,London Underground
217,Boston Manor,London Underground,4,Ealing,,London Underground
218,Northfields,London Underground,3,Ealing,,London Underground
219,South Harrow,London Underground,5,Harrow,,London Underground
220,Kensal Green,London Underground,2,Brent,,London Underground
221,Harlesden,London Underground,3,Brent,,London Underground
222,Wembley Central,London Underground,4,Brent,,London Underground
223,North Wembley,London Underground,4,Brent,,London Underground
224,Paddington,London Underground,1,City of Westminster,,London Underground
225,Richmond,London Underground,4,Richmond Upon thames,,London Underground
226,Kew Gardens,London Underground,3,Richmond Upon thames,,London Underground
227,Gunnersbury,London Underground,3,Hounslow,,London Underground
228,Piccadilly Circus,London Underground,1,City of Westminster,,London Underground
229,Charing Cross,London Underground,1,City of Westminster,,London Underground
230,Elephant & Castle,London Underground,2,Southwark,,London Underground
231,Lambeth North,London Underground,1,Lambeth,,London Underground
232,Warwick Avenue,London Underground,2,City of Westminster,,London Underground
233,Edgware Road (Bak),London Underground,1,City of Westminster,,London Underground
234,Maida Vale,London Underground,2,City of Westminster,,London Underground
235,Kilburn Park,London Underground,2,Brent,,London Underground
236,Marylebone,London Underground,1,City of Westminster,,London Underground
237,Regent's Park,London Underground,1,City of Westminster,,London Underground
238,Sloane Square,London Underground,1,Kensington and Chelsea,,London Underground
239,St. James's Park,London Underground,1,City of Westminster,,London Underground
240,Ravenscourt Park,London Underground,2,Hammersmith and Fulham,,London Underground
241,Hammersmith (Dis),London Underground,2,Hammersmith and Fulham,,London Underground
242,West Kensington,London Underground,2,Hammersmith and Fulham,,London Underground
243,Barons Court,London Underground,2,Hammersmith and Fulham,,London Underground
244,Fulham Broadway,London Underground,2,Hammersmith and Fulham,,London Underground
245,West Brompton,London Underground,2,Kensington and Chelsea,,London Underground
246,Stamford Brook,London Underground,2,Hammersmith and Fulham,,London Underground
247,Turnham Green,London Underground,3,Hounslow,,London Underground
248,Stepney Green,London Underground,2,Tower Hamlets,,London Underground
249,Aldgate East,London Underground,1,Tower Hamlets,,London Underground
250,Whitechapel,London Underground,2,Tower Hamlets,,London Underground
251,Bow Road,London Underground,2,Tower Hamlets,,London Underground
252,Wembley Park,London Underground,4,Brent,,London Underground
253,Neasden,London Underground,3,Brent,,London Underground
254,Dollis Hill,London Underground,3,Brent,,London Underground
255,Kingsbury,London Underground,4,Brent,,London Underground
256,Queensbury,London Underground,4,Brent,,London Underground
257,South Kenton,London Underground,4,Brent,,London Underground
258,Harrow & Wealdstone,London Underground,5,Harrow,,London Underground
259,Kenton,London Underground,4,Brent,,London Underground
260,Stonebridge Park,London Underground,3,Brent,,London Underground
261,Willesden Junction,London Underground,3,Brent,,London Underground
262,East Finchley,London Underground,3,Barnet,,London Underground
263,Highgate,London Underground,3,Haringey,,London Underground
264,Woodside Park,London Underground,4,Barnet,,London Underground
265,West Finchley,London Underground,4,Barnet,,London Underground
266,Totteridge & Whetstone,London Underground,4,Barnet,,London Underground
267,High Barnet,London Underground,5,Barnet,,London Underground
268,Heathrow Terminal 4,London Underground,6,Hillingdon,,London Underground
269,West Acton,London Underground,3,Ealing,,London Underground
270,Stratford,London Underground,3,Newham,,London Underground
271,Uxbridge,London Underground,6,Hillingdon,,London Underground
272,Hillingdon,London Underground,6,Hillingdon,,London Underground
273,Ickenham,London Underground,6,Hillingdon,,London Underground
274,Ruislip,London Underground,6,Hillingdon,,London Underground
275,Ruislip Manor,London Underground,6,Hillingdon,,London Underground
276,Eastcote,London Underground,5,Hillingdon,,London Underground
277,Northwood Hills,London Underground,6,Hillingdon,,London Underground
278,West Harrow,London Underground,5,Harrow,,London Underground
279,Rayners Lane,London Underground,5,Harrow,,London Underground
280,North Harrow,London Underground,5,Harrow,,London Underground
281,Pinner,London Underground,5,Harrow,,London Underground
282,Harrow-on-the-Hill,London Underground,5,Harrow,,London Underground
283,Northwick Park,London Underground,4,Brent,,London Underground
284,Amersham,London Underground,9,Chiltern,,London Underground
285,Stanmore,London Underground,5,Harrow,,London Underground
286,Canons Park,London Underground,5,Harrow,,London Underground
287,St. John's Wood,London Underground,2,City of Westminster,,London Underground
288,Southwark,London Underground,1,Southwark,,London Underground
289,London Bridge,London Underground,1,Southwark,,London Underground
290,Canada Water,London Underground,2,Southwark,,London Underground
291,Bermondsey,London Underground,2,Southwark,,London Underground
292,Canary Wharf,London Underground,2,Tower Hamlets,,London Underground
293,North Greenwich,London Underground,3,Greenwich,,London Underground
294,Canning Town,London Underground,3,Newham,,London Underground
295,Kilburn,London Underground,2,Brent,,London Underground
296,Willesden Green,London Underground,3,Brent,,London Underground
297,West Hampstead,London Underground,2,Camden,,London Underground
298,Swiss Cottage,London Underground,2,Camden,,London Underground
299,Finchley Road,London Underground,2,Camden,,London Underground
300,Colliers Wood,London Underground,3,Merton,,London Underground
301,Archway,London Underground,2,Islington,,London Underground
302,Tooting Broadway,London Underground,3,Wandsworth,,London Underground
303,Tooting Bec,London Underground,3,Wandsworth,,London Underground
304,Balham,London Underground,3,Wandsworth,,London Underground
305,Clapham South,London Underground,2,Wandsworth,,London Underground
306,Clapham Common,London Underground,2,Lambeth,,London Underground
307,Clapham North,London Underground,2,Lambeth,,London Underground
308,Goodge Street,London Underground,1,Camden,,London Underground
309,Tottenham Court Road,London Underground,1,City of Westminster,,London Underground
310,Belsize Park,London Underground,2,Camden,,London Underground
311,Hampstead,London Underground,2,Camden,,London Underground
312,Mornington Crescent,London Underground,2,Camden,,London Underground
313,Chalk Farm,London Underground,2,Camden,,London Underground
314,Camden Town,London Underground,2,Camden,,London Underground
315,Kentish Town,London Underground,2,Camden,,London Underground
316,Tufnell Park,London Underground,2,Islington,,London Underground
317,Oval,London Underground,2,Lambeth,,London Underground
318,Kennington,London Underground,2,Southwark,,London Underground
319,East Acton,London Underground,2,Hammersmith and Fulham,,London Underground
320,Chalfont & Latimer,London Underground,8,Chiltern,,London Underground
321,Chorleywood,London Underground,7,Three Rivers,,London Underground
322,Chesham,London Underground,9,Chiltern,,London Underground
323,Rickmansworth,London Underground,7,Three Rivers,,London Underground
324,Moor Park,London Underground,7,Three Rivers,,London Underground
325,Northwood,London Underground,6,Hillingdon,,London Underground
326,Croxley,London Underground,7,Three Rivers,,London Underground
327,Watford,London Underground,7,Watford,,London Underground
328,Preston Road,London Underground,4,Brent,,London Underground
329,Borough,London Underground,1,Southwark,,London Underground
330,Old Street,London Underground,1,Islington,,London Underground
331,Angel,London Underground,1,Islington,,London Underground
332,Hendon Central,London Underground,3,Barnet,,London Underground
333,Wimbledon,London Underground,3,Merton,,London Underground
334,Wood Lane,London Underground,2,Hammersmith and Fulham,,London Underground
335,Heathrow Terminal 5,London Underground,6,Hillingdon,,London Underground
